hindi,hinglish
मुझे एक अच्छा ऑर्डर चाहिए।,mujhe ek accha order chahiye.
यह प्रीमियम लंबा है।,Yeh premium lamba hai
मेरे पास एक सही है।,Mere paas ek sahi hai.
यह सिग्नल ख़ास है।,Yeh signal khaas hai
यह शानदार बेटी और वह शानदार सास है।,Yeh shaandaar beti aur woh shaandaar saas hai
मुझे एक शानदार डिलीवरी चाहिए।,mujhe ek shaandaar delivery chahiye.
मुझे एक बुरा सॉन्ग चाहिए।,mujhe ek bura song chahiye.
मुझे एक फालतू स्क्रीन गार्ड चाहिए।,mujhe ek faltu screen guard chahiye.
मेरे पास बहुत सारे नौकर है।,Mere paas bahut sare naukar hai.
यह गोल औरत है।,Yeh gol aurat hai
यह केसरिया फोन है।,Yeh kesariya phone hai.
कैसे मैं गया,kaise main gaya
हम बताेगी,hum bataegi
यह मीम कमाल का है।,Yeh meme kamaal ka hai
यह थका ताई है।,Yeh thaka tai hai
यह फोन सबसे बुरा है।,Yeh phone sabse bura hai
मुझे एक ज़बरदस्त कमेंट चाहिए।,mujhe ek zabardast comment chahiye.
वह कॉपी चाहिए,Woh copy chahiye
यह गली है।,Yeh gali hai.
यह ठंडा खाना है।,Yeh thanda khana hai.
उसके गाँव है,uske gaanv hai
वह बफरिंग पसंद है,Woh buffering pasand hai
मुझे एक छोटा जिफ चाहिए।,mujhe ek chhota GIF chahiye.
यह टेलीग्राम बड़ा है।,Yeh Telegram bada hai
मेरे पास कई साल है।,Mere paas kai saal hai.
यह पुराना माँ है।,Yeh purana maa hai
मैं सोूँगा,main sounga
वह बेईमान बहन होगा।,Woh beimana behen hoga.
वह लंबा नाना होगा।,Woh lamba nana hoga.
वह बोलूँगी,vah bolungi
मुझे एक गूगल पसंद है,Mujhe ek google pasand hai
कैसे आओ,kaise aao
दूध ले लीजिए,doodh le lijiye
यह बेईमान भाई है।,Yeh beimana bhai hai
यह कीमती पापा है।,Yeh qimati papa hai
वह समझदार बहन था।,Woh samajhdar behen tha.
यह बेईमान बहन है।,Yeh beimana behen hai
यह बढ़िया चाची और वह बढ़िया दादा है।,Yeh badhiya chachi aur woh badhiya dada hai
यह बढ़िया पत्नी और वह बढ़िया घरवाले है।,Yeh badhiya patni aur woh badhiya gharwale hai
लंच कर लिया?,Lunch kar liya?
यह लंबा काम होगा।,Yeh lamba kaam hoga.
मुझे एक टैप है,Mujhe ek tap hai
फौरन मिलेंगे,fauran milenge
यह कल है।,Yeh kal hai.
यह रिपोर्ट धांसू है।,Yeh report dhansu hai
वह अच्छा सास था।,Woh accha saas tha.
वह सीधा नानी था।,Woh sidha nani tha.
वह सस्ता ससुर था।,Woh sasta sasur tha.
वह सिखाता है,vah sikhata hai
यह बच्चा बूढ़ा है।,Yeh bachcha budha hai
वह बहुत ज़्यादा है,vah bahut zyada hai
बुरा दाल,bura daal
वह शांत बच्चा होगा।,Woh shant bachcha hoga.
वह काला घरवाले होगा।,Woh kala gharwale hoga.
मेरे पास बहुत सारे घी है।,Mere paas bahut sare ghee hai.
वह कमाल का भाई होगा।,Woh kamaal ka bhai hoga.
यह फॉलो नया है।,Yeh follow naya hai.
छोटी दरवाज़ा है,chhoti darwaza hai
मुझे एक धांसू सॉफ्टवेयर चाहिए।,mujhe ek dhansu software chahiye.
मुझे एक सबसे बुरा लाइव चाहिए।,mujhe ek sabse bura live chahiye.
यह डीएम शानदार है।,Yeh DM shaandaar hai
आपके दरवाज़ा है,aapke darwaza hai
बेहतरीन सड़क है,behtareen sadak hai
वह आसान माँ होगा।,Woh aasan maa hoga.
मुझे एक सबसे बुरा लॉगआउट चाहिए।,mujhe ek sabse bura logout chahiye.
मुझे एक फालतू आईपैड चाहिए।,mujhe ek faltu iPad chahiye.
वह नया घरवाले था।,Woh naya gharwale tha.
यह सबसे अच्छा नाना और वह सबसे अच्छा बेटा है।,Yeh sabse accha nana aur woh sabse accha beta hai
वह होता है,vah hota hai
यह धांसू दादी और वह धांसू ताई है।,Yeh dhansu dadi aur woh dhansu tai hai
यह सबसे अच्छा पति और वह सबसे अच्छा नानी है।,Yeh sabse accha pati aur woh sabse accha nani hai
गंदे जगह है,gande jagah hai
नयी मोहल्ला है,nayi mohalla hai
तुम स्कूल जा रहे हो,tum school jaa rahe ho
वह गरीब ताऊ होगा।,Woh garib tau hoga.
यह डीएम बढ़िया है।,Yeh DM badhiya hai
यह कमाल का पत्नी और वह कमाल का ससुर है।,Yeh kamaal ka patni aur woh kamaal ka sasur hai
वह कीमती दादी था।,Woh qimati dadi tha.
कैसे यह करता है,kaise yah karta hai
बड़ा गली है,bada gali hai
यह अच्छा पापा और वह अच्छा सास है।,Yeh accha papa aur woh accha saas hai
यह चेकआउट खराब है।,Yeh checkout kharab hai
यह सुना,yah suna
यह थका नानी है।,Yeh thaka nani hai
यह कमाल का चाची और वह कमाल का दादी है।,Yeh kamaal ka chachi aur woh kamaal ka dadi hai
पलंग दे लीजिए,palang de lijiye
मुझे एक बुरा पेमेंट चाहिए।,mujhe ek bura payment chahiye.
उसने किया,usne kiya
यह नाराज़ बहन है।,Yeh naraz behen hai
मेरे पास चार प्यार है।,Mere paas chaar pyaar hai.
यह बेकार दादी है।,Yeh bekar dadi hai
यह कठिन बेटी है।,Yeh kathin beti hai
वह बोल है,vah bol hai
यह बुरा पापा और वह बुरा घरवाले है।,Yeh bura papa aur woh bura gharwale hai
वह नाराज़ दोस्त था।,Woh naraz dost tha.
यह बिस्कुट बिक्री हुई।,Yeh biscuit bikri hui.
मुझे एक ख़ास क्यूआर कोड चाहिए।,mujhe ek khaas QR code chahiye.
मुझे एक चौड़ा वॉइस कॉल चाहिए।,mujhe ek chaura voice call chahiye.
वह गंदा पापा होगा।,Woh ganda papa hoga.
मैं कॉलेज आ रहा हूँ,main college aa raha hoon
मेरे पास तीन ग्राहक है।,Mere paas teen grahak hai.
सुबह पी लो,subah pi lo
यह बुरा ससुर और वह बुरा परिवार है।,Yeh bura sasur aur woh bura parivar hai
वह सीधा आदमी होगा।,Woh sidha aadmi hoga.
मुझे एक ज़बरदस्त अकाउंट चाहिए।,mujhe ek zabardast account chahiye.
यह बजे बिक्री हुई।,Yeh baje bikri hui.
मेरी लो रही है,meri lo rahi hai
यह चल रही है,yah chal rahi hai
गंदा मेज़ है,ganda mez hai
वह महंगा दुश्मन था।,Woh mahanga dushman tha.
यह वॉइस कॉल खराब है।,Yeh voice call kharab hai
मुझे एक ख़ास इंस्टाग्राम चाहिए।,mujhe ek khaas Instagram chahiye.
वह ख़ास दादा होगा।,Woh khaas dada hoga.
नया पानी,naya paani
मेरे पास चार रात है।,Mere paas chaar raat hai.
वह बुरा औरत था।,Woh bura aurat tha.
यह कीमती भाई है।,Yeh qimati bhai hai
